,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
9071,1.0,1.0,52.3819094,4.8867332,2.0,2.0,1.0,2.0,450.0,3.0,5,3.0,3.0,5,5.0,3.0,5.0,21.0,29.0,59,59,1.0,1.0,1.0,4.0,4.9,4.0,5.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0
9072,1.0,1.0,52.3765684,4.9453551,3.0,1.0,2.0,2.0,240.0,2.0,30,2.0,5.0,30,30.0,2.1,30.0,0.0,0.0,9,105,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.71
9073,6.0,12.0,52.3682707,4.9239385,2.0,1.0,1.0,1.0,245.0,1.0,365,1.0,4.0,999,999.0,2.4,999.0,3.4,57.0,87,187,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,0.0,0.0,1.0
9074,6.0,12.0,52.3682707,4.9239385,2.0,1.0,1.0,1.0,257.0,1.0,365,1.0,4.0,999,999.0,2.4,999.0,3.4,57.0,87,193,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,0.0,0.0,0.88
9075,6.0,12.0,52.3682707,4.9239385,4.0,1.0,1.0,2.0,281.0,1.0,365,1.0,4.0,999,999.0,2.4,999.0,20.0,39.0,68,174,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,4.8,4.0,6.0,6.0,0.0,0.0,1.0
9076,6.0,12.0,52.3682707,4.9239385,2.0,1.0,1.0,1.0,267.0,1.0,365,1.0,4.0,999,999.0,2.4,999.0,9.0,33.0,63,152,0.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,4.8,4.0,6.0,6.0,0.0,0.0,1.0
9077,6.0,12.0,52.3682707,4.9239385,4.0,1.0,1.0,2.0,362.0,1.0,365,1.0,4.0,999,999.0,2.4,999.0,19.0,45.0,75,181,0.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,4.8,4.0,6.0,6.0,0.0,0.0,1.0
9078,6.0,12.0,52.3682707,4.9239385,6.0,1.0,2.0,3.0,472.0,1.0,365,1.0,4.0,999,999.0,3.0,999.0,5.0,22.0,48,151,0.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,4.8,4.0,6.0,6.0,0.0,0.0,1.0
9079,2.0,2.0,52.35262174004258,4.901859578293009,2.0,1.0,1.0,0.0,250.0,3.0,8,3.0,4.0,8,8.0,3.0,8.0,6.0,14.0,14,14,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,0.0,1.0
9080,1.0,1.0,52.34994682144548,4.888410299998676,2.0,1.0,1.0,0.0,338.0,3.0,365,3.0,3.0,365,365.0,3.0,365.0,0.0,1.0,16,92,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9081,1.0,1.0,52.37671,4.84924,3.0,1.0,2.0,2.0,275.0,1.0,365,1.0,3.0,365,365.0,1.1,365.0,5.0,19.0,34,86,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9082,1.0,1.0,52.3631612,4.8746955,4.0,2.0,2.0,2.0,394.0,2.0,14,2.0,2.0,14,14.0,2.0,14.0,13.0,13.0,13,13,5.0,5.0,4.0,5.0,5.0,5.0,4.8,5.0,5.0,4.6,1.0,1.0,0.0,0.0,3.85
9083,1.0,2.0,52.377613,4.9395206,2.0,1.0,1.0,1.0,361.0,1.0,365,1.0,4.0,999,999.0,2.0,999.0,13.0,31.0,49,250,0.0,0.0,0.0,5.0,5.0,5.0,4.8,5.0,5.0,4.6,1.0,1.0,0.0,0.0,3.85
9084,1.0,1.0,52.37085,4.86077,2.0,1.0,1.0,1.0,300.0,1.0,365,1.0,1.0,365,365.0,1.0,365.0,3.4,59.0,89,269,0.0,0.0,0.0,5.0,5.0,5.0,4.8,5.0,5.0,4.6,1.0,1.0,0.0,0.0,3.85
9085,1.0,2.0,52.3947814776109,4.941189768970216,2.0,1.0,1.0,0.0,148.0,4.0,30,4.0,4.0,30,30.0,4.0,30.0,3.0,3.0,18,19,0.0,0.0,0.0,5.0,5.0,5.0,4.8,5.0,5.0,4.6,1.0,1.0,0.0,0.0,3.85
9086,1.0,1.0,52.369441501539654,4.853790286982176,2.0,1.0,1.0,0.0,140.0,4.0,365,3.0,4.0,365,365.0,4.0,365.0,4.0,4.0,4,34,2.0,2.0,2.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0
9087,1.0,3.0,52.374346804301275,4.888939124194756,2.0,1.0,1.0,0.0,385.0,2.0,365,2.0,2.0,365,365.0,2.0,365.0,12.0,12.0,12,12,0.0,0.0,0.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0
9088,1.0,1.0,52.35891078276196,4.879271022908729,2.0,1.5,1.0,1.0,421.0,2.0,28,2.0,2.0,28,28.0,2.0,28.0,0.0,25.0,28,28,0.0,0.0,0.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0
9089,1.0,5.0,52.409495137123166,4.900636146557638,2.0,1.0,1.0,0.0,200.0,1.0,365,1.0,2.0,365,365.0,1.3,365.0,5.0,30.0,54,54,0.0,0.0,0.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.0,2.0
9090,1.0,1.0,52.37177520268679,4.903410814796876,2.0,1.0,1.0,1.0,212.0,1.0,30,1.0,1.0,30,30.0,1.0,30.0,0.0,0.0,8,9,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0
9091,1.0,1.0,52.3538,4.84585,2.0,1.0,1.0,1.0,162.0,4.0,365,4.0,4.0,365,365.0,4.0,365.0,4.0,8.0,15,15,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0
9092,1.0,1.0,52.377497772663325,4.943727621432079,4.0,1.0,1.0,0.0,270.0,3.0,30,3.0,3.0,30,30.0,3.0,30.0,3.0,16.0,32,33,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0
